transaction_id,user_id,date,category,amount,status,payment_method,region
TXN-1001,USR-458,2023-01-15,Electronics,1299.99,Completed,Credit Card,North America
TXN-1002,USR-231,2023-01-15,Apparel,45.50,Completed,PayPal,Europe
TXN-1003,USR-892,2023-01-16,Home & Garden,299.00,Pending,Credit Card,Asia
TXN-1004,USR-115,2023-01-17,Electronics,899.99,Completed,Debit Card,North America
TXN-1005,USR-458,2023-01-18,Sports,120.00,Failed,Credit Card,North America
TXN-1006,USR-672,2023-01-19,Apparel,85.00,Completed,PayPal,South America
TXN-1007,USR-991,2023-01-20,Electronics,450.00,Completed,Credit Card,Europe
TXN-1008,USR-231,2023-01-21,Sports,65.00,Completed,PayPal,Europe
TXN-1009,USR-554,2023-01-22,Home & Garden,150.00,Pending,Debit Card,Asia
TXN-1010,USR-332,2023-01-23,Apparel,110.00,Completed,Credit Card,North America
